time_delta_us,accel_x,accel_y,accel_z,rotation_x,rotation_y,rotation_z
40000,-0.0004,-0.0033,-1.0023,-0.0647,0.0592,-0.0247
40000,0.0035,-0.0021,-0.9940,0.1566,-0.0934,0.2043
40000,-0.0007,-0.0060,-0.9887,0.1337,0.0745,-0.0553
40000,0.0013,0.0010,-0.9926,0.1108,-0.1927,0.0287
40000,0.0030,-0.0004,-0.9962,0.0269,0.0287,-0.1927
40000,0.0040,0.0010,-0.9987,-0.0418,0.0745,-0.0705
40000,0.0018,0.0003,-0.9984,0.0269,0.1203,-0.0934
40000,-0.0026,-0.0033,-0.9979,0.1261,-0.0171,0.0592
40000,0.0030,-0.0068,-1.0001,-0.1411,0.0516,0.1356
40000,0.0071,0.0018,-0.9955,-0.0113,0.0134,-0.1545
40000,0.0001,-0.0016,-0.9958,0.0116,-0.1011,0.0821
40000,0.0042,0.0015,-1.0004,0.0498,-0.0171,-0.1469
40000,0.0032,-0.0063,-1.0094,-0.0953,0.0745,0.1585
40000,-0.0031,-0.0070,-0.9933,-0.1334,0.0363,0.0898
40000,0.0010,0.0003,-0.9892,0.0116,0.0058,-0.0553
40000,0.0015,-0.0026,-0.9965,0.0956,0.0134,-0.1240
40000,0.0010,-0.0009,-1.0009,0.2406,0.0287,-0.1392
40000,0.0020,-0.0053,-0.9984,-0.1411,0.0363,-0.2003
40000,0.0084,-0.0019,-0.9982,-0.0571,-0.1392,-0.2614
40000,0.0074,-0.0038,-1.0077,-0.0342,0.0669,-0.2079
40000,-0.0004,-0.0009,-1.0082,-0.1716,0.0058,0.3188
40000,-0.0036,-0.0033,-0.9965,0.0956,-0.0018,0.0745
40000,0.0018,-0.0087,-0.9992,-0.0647,-0.2079,-0.3606
40000,0.0020,0.0047,-0.9997,0.0650,-0.1392,-0.0476
40000,0.0013,-0.0002,-0.9999,-0.0495,0.1966,0.1661
40000,-0.0034,-0.0024,-0.9999,0.0345,0.0898,-0.0247
40000,0.0025,-0.0012,-0.9955,0.0269,-0.1469,-0.1087
40000,0.0047,-0.0014,-0.9992,-0.0266,0.0287,-0.1163
40000,-0.0017,-0.0021,-0.9999,0.1414,0.0821,-0.0782
40000,0.0015,-0.0016,-0.9926,-0.0037,0.0134,0.1279
40000,0.0027,-0.0051,-1.0019,-0.1792,-0.0324,-0.0934
40000,-0.0009,-0.0051,-1.0006,-0.1792,-0.0476,0.1050
40000,0.0010,-0.0038,-1.0014,-0.1258,0.2043,-0.0018
40000,-0.0021,-0.0004,-0.9999,0.0116,0.0440,-0.0400
40000,0.0023,-0.0016,-0.9945,-0.1182,-0.0476,0.0898
40000,0.0001,0.0008,-0.9977,0.0727,0.0440,0.1508
40000,-0.0024,-0.0024,-1.0006,-0.0953,0.0363,-0.2766
40000,-0.0017,-0.0016,-1.0041,0.0116,0.0516,-0.1621
40000,0.0074,0.0018,-0.9933,-0.0800,-0.0247,-0.0476
40000,0.0052,-0.0048,-0.9928,0.0650,-0.1240,-0.0934
40000,-0.0043,-0.0033,-0.9958,0.0269,0.0745,0.1585
40000,0.0042,-0.0060,-0.9992,0.0727,-0.1011,0.0516
40000,-0.0029,0.0015,-0.9967,-0.0876,-0.0476,0.1203
40000,0.0023,-0.0031,-1.0067,-0.0495,0.0211,-0.0095
40000,-0.0002,0.0003,-0.9997,-0.1411,0.2653,0.2119
40006,0.0037,0.0023,-0.9940,-0.0724,0.2272,0.0363
39994,0.0008,0.0018,-1.0004,0.1185,0.1127,0.0669
40000,0.0005,-0.0033,-1.0016,0.0727,0.1890,-0.0171
40000,-0.0004,0.0010,-1.0009,-0.0647,0.1127,0.0745
40000,0.0027,-0.0107,-0.9982,0.2101,-0.0324,-0.1469
40000,0.0015,0.0023,-0.9970,0.0803,0.0058,-0.2079
40000,0.0040,0.0001,-0.9987,-0.0495,-0.0858,0.0669
40000,0.0040,0.0025,-0.9970,0.1337,0.0134,-0.0553
40000,0.0027,-0.0021,-0.9950,0.0345,0.0745,0.2653
40000,0.0054,-0.0012,-0.9938,0.0421,-0.0247,0.0440
40000,0.0023,0.0001,-1.0014,-0.0418,-0.0782,-0.0553
40000,-0.0002,-0.0073,-1.0016,0.0421,0.1432,0.0440
40000,-0.0024,-0.0021,-0.9938,-0.0189,0.1050,-0.0476
40000,-0.0007,-0.0009,-0.9928,-0.0571,0.0134,0.2119
40000,0.0027,0.0003,-1.0023,-0.0953,-0.2843,0.2043
40000,0.0005,0.0008,-1.0023,-0.0189,-0.0018,-0.1774
40000,0.0037,0.0001,-1.0031,-0.0342,0.0440,-0.0095
40000,-0.0024,0.0028,-1.0006,-0.0953,0.0058,0.1203
40000,0.0015,-0.0004,-0.9936,0.0421,0.0516,-0.0171
40000,0.0042,-0.0053,-0.9979,0.0040,-0.0629,0.0516
40000,0.0027,0.0025,-0.9926,0.0116,0.0745,-0.3072
40000,-0.0021,-0.0065,-0.9960,-0.0418,0.0058,0.1356
40000,-0.0009,-0.0060,-0.9972,-0.0800,0.1127,-0.0400
40000,0.0005,-0.0065,-0.9950,0.0116,-0.0858,-0.1163
40000,-0.0012,0.0020,-0.9958,0.0269,0.1356,0.1356
40000,0.0013,-0.0016,-0.9943,0.0421,-0.1240,-0.0247
40000,0.0062,-0.0085,-1.0016,-0.1411,0.2501,-0.0476
40000,0.0005,-0.0004,-0.9933,0.0116,0.0898,0.0516
40000,0.0018,-0.0009,-0.9977,0.0574,-0.2461,-0.1163
40000,0.0040,0.0025,-0.9977,0.1643,0.0516,0.0974
40000,-0.0014,-0.0024,-1.0023,0.1108,0.1585,-0.0171
40000,-0.0021,-0.0007,-1.0014,-0.1029,-0.0476,-0.1698
40000,0.0018,-0.0007,-0.9933,-0.2708,0.0440,-0.0705
40000,0.0032,0.0015,-0.9945,-0.0495,0.0898,-0.0782
40000,-0.0017,-0.0016,-0.9972,-0.0266,-0.0171,0.0974
40000,0.0023,-0.0019,-0.9955,0.0574,0.1050,0.0745
40000,-0.0046,0.0025,-0.9962,0.2024,-0.1545,0.1661
40000,-0.0026,-0.0007,-0.9994,0.0574,0.0592,0.0669
40000,0.0037,-0.0070,-0.9953,0.0574,-0.1392,-0.0934
40000,0.0032,-0.0048,-1.0006,-0.0876,0.0211,-0.0476
40000,0.0027,-0.0077,-0.9931,-0.1792,0.0516,-0.1927
40000,0.0025,0.0010,-0.9906,-0.1182,0.0669,0.0287
40000,0.0010,-0.0046,-0.9938,0.0421,0.1127,0.0287
40000,0.0032,-0.0004,-0.9999,0.0192,-0.0705,-0.2537
40000,-0.0009,0.0047,-0.9901,-0.1029,0.1966,0.0745
40000,0.0064,-0.0033,-0.9911,-0.0953,0.1356,0.0134
40000,0.0008,-0.0048,-0.9962,-0.0189,0.0745,0.0134
40000,0.0010,-0.0090,-0.9982,0.0727,0.0669,-0.1698
40000,0.0010,-0.0002,-1.0019,0.0727,-0.0782,0.0058
40000,0.0059,-0.0048,-1.0011,-0.0647,-0.0247,0.1127
40000,0.0032,-0.0073,-0.9975,0.0421,-0.0782,0.2195
40000,0.0045,-0.0012,-0.9945,0.0727,0.1432,-0.1469
40000,-0.0002,-0.0082,-0.9918,-0.0953,-0.0018,0.2577
40000,0.0008,-0.0043,-0.9953,0.0192,-0.1316,0.0821
40000,-0.0021,-0.0016,-0.9936,0.0345,0.1203,0.3340
40000,0.0040,-0.0014,-0.9962,-0.0724,0.0516,-0.1087
40000,0.0013,-0.0065,-0.9999,-0.0647,-0.2308,0.2043
40000,-0.0034,-0.0041,-0.9992,0.0421,0.0516,0.2806
40000,-0.0043,-0.0002,-0.9955,-0.1563,0.0287,-0.1545
40000,0.0020,-0.0031,-0.9926,0.0727,-0.0247,-0.0553
40000,0.0042,-0.0026,-0.9904,0.0192,0.0974,0.1356
40000,-0.0002,0.0032,-0.9967,-0.1563,0.0592,0.1203
40000,0.0005,-0.0055,-0.9997,-0.0037,0.0821,0.0287
40000,0.0015,0.0015,-0.9955,0.0574,0.0592,0.0440
40000,0.0040,-0.0031,-0.9982,-0.0418,-0.0171,0.0821
40000,-0.0007,0.0037,-1.0031,-0.0266,0.1508,-0.0171
40000,-0.0070,-0.0048,-1.0045,-0.0800,0.0287,0.0592
40000,0.0030,-0.0014,-0.9943,-0.0495,-0.1316,-0.2919
40000,0.0025,-0.0007,-1.0067,-0.0495,-0.0247,-0.1545
40000,-0.0029,0.0064,-0.9923,0.0192,0.0592,0.2195
40000,-0.0012,-0.0026,-1.0016,-0.2250,-0.0171,-0.1163
40000,0.0001,-0.0024,-1.0065,0.1261,-0.0171,0.0211
40000,-0.0034,0.0025,-1.0060,0.0956,-0.0171,0.0592
40000,0.0032,-0.0043,-0.9979,-0.0037,0.0974,0.0440
40000,0.0003,0.0018,-1.0023,-0.0418,-0.0247,-0.1240
40000,0.0027,-0.0012,-1.0006,0.0269,-0.0095,-0.1087
40000,0.0015,-0.0009,-0.9911,0.0269,-0.0247,0.0058
40000,-0.0012,-0.0014,-0.9987,0.0269,0.0592,0.2730
40000,-0.0056,-0.0004,-1.0026,0.0803,-0.0247,-0.0476
40000,0.0032,0.0076,-0.9965,-0.1945,0.0287,-0.1087
40000,0.0010,0.0025,-0.9889,-0.1334,0.0287,-0.2079
40000,0.0008,-0.0014,-0.9933,-0.0953,0.1737,-0.1698
40000,-0.0004,-0.0031,-0.9931,0.0803,0.0974,-0.0629
40000,-0.0007,-0.0016,-0.9989,-0.0495,-0.0705,0.0211
40000,0.0015,-0.0058,-0.9979,0.1261,0.0974,-0.0782
40000,0.0081,-0.0085,-1.0067,0.1108,-0.0476,0.0592
40000,-0.0031,0.0042,-0.9994,-0.0113,-0.0018,-0.0476
40000,0.0008,-0.0048,-0.9970,-0.0266,0.0363,-0.0171
40000,-0.0014,0.0013,-0.9972,0.0116,-0.0934,0.0440
40000,0.0005,0.0023,-0.9960,0.0345,-0.0247,-0.1240
40000,0.0049,0.0003,-0.9948,0.0803,-0.0018,-0.2003
40000,0.0037,-0.0014,-0.9992,0.1872,-0.0858,-0.2385
40000,-0.0009,-0.0014,-1.0045,0.1490,-0.0858,-0.1163
40000,-0.0004,-0.0004,-1.0104,-0.0953,0.1127,-0.0400
40000,-0.0009,0.0047,-1.0036,-0.0113,-0.0858,0.0058
40000,-0.0017,-0.0009,-1.0004,-0.0037,0.0440,-0.1850
40000,0.0047,0.0018,-0.9914,-0.0037,0.0592,-0.0782
40000,0.0047,0.0047,-0.9936,-0.1563,0.0745,-0.2079
40000,0.0054,0.0008,-0.9955,0.0574,0.0898,-0.0553
40000,-0.0009,0.0010,-0.9933,-0.0189,0.1737,-0.1621
40000,0.0042,-0.0055,-1.0004,0.0574,-0.0247,-0.1240
40000,0.0008,-0.0016,-0.9943,-0.0647,0.0974,0.1356
40000,-0.0012,-0.0058,-0.9931,0.0956,0.1050,-0.2079
40000,0.0008,0.0032,-1.0036,0.0345,0.1356,-0.0018
40000,0.0013,-0.0029,-0.9989,-0.0647,0.0821,0.0516
40000,0.0013,-0.0031,-0.9921,-0.0189,0.0898,-0.0171
40000,0.0013,-0.0021,-0.9938,0.0192,0.0363,-0.1698
40000,-0.0007,0.0020,-1.0045,-0.0495,0.1127,-0.0934

