time_delta_us,accel_x,accel_y,accel_z,rotation_x,rotation_y,rotation_z
40000,-0.1320,-0.0104,-1.0160,17.0113,-132.9979,-21.0809
40000,-0.1264,-0.0229,-1.0241,20.2403,-140.0284,-11.3710
40000,-0.3998,-0.0189,-0.9291,28.3548,-143.2803,-5.2412
40000,-0.4491,-0.0834,-0.8935,28.5304,-75.5017,-19.8137
40000,-0.4696,-0.1056,-0.8300,24.8892,-26.7612,-4.5771
40000,-0.3866,-0.1662,-0.7995,16.0647,62.8800,28.3924
40000,-0.2577,-0.1278,-0.8696,3.5915,185.0479,71.0412
40000,-0.2492,-0.0719,-0.9184,31.5304,184.3533,75.5985
40000,-0.2084,-0.1276,-0.7682,-10.5765,194.5060,50.3847
40000,0.3248,-0.0622,-1.2599,17.6220,249.0021,69.4840
40000,0.0782,-0.1164,-0.9130,18.7212,170.7426,37.2473
40000,0.2545,-0.1032,-0.8903,-10.7673,243.8037,39.4534
40000,0.5404,-0.0822,-0.9626,13.5380,219.1930,23.3084
40000,0.6239,-0.0814,-0.8417,-28.2711,121.3762,19.2092
40000,0.7325,-0.1137,-0.8869,6.0342,100.1166,21.4458
40000,0.5870,-0.0917,-0.8246,18.7899,-14.4788,-8.5771
40000,0.6219,-0.0827,-0.7807,0.5533,-116.4406,-44.3863
40000,0.4671,-0.0692,-0.9194,15.1029,-203.8757,-72.9130
40000,0.4164,-0.0941,-0.8449,27.5914,-209.9139,-91.2260
40000,0.3453,-0.1056,-0.8674,-1.9811,-191.9597,-72.4779
40000,0.1217,-0.0512,-0.9880,-11.5002,-168.3337,-45.4779
40000,-0.0006,-0.0087,-1.0900,15.4464,-160.4025,-59.6992
40000,0.0057,-0.0453,-1.0212,7.0800,-187.5017,-64.1115
40000,-0.2084,-0.0563,-1.0414,15.9808,-130.6162,-44.8824
40000,-0.2899,-0.0954,-0.9833,24.2937,-111.1734,-38.0122
40000,-0.3231,-0.1710,-0.8544,13.7289,-33.3872,-17.9130
40003,-0.1605,-0.2396,-0.8207,11.9044,74.3609,35.5679
39997,-0.1205,-0.2047,-0.7714,-6.1108,202.8189,105.3542
40000,-0.0517,-0.0783,-0.9357,-6.0727,249.0021,94.6672
40000,0.1671,-0.0814,-0.9797,-28.2788,203.4220,75.2397
40000,0.2320,-0.0453,-0.9850,-23.9963,210.0937,66.2626
40000,0.4010,-0.0414,-1.0802,12.3777,180.9945,71.0565
40000,0.3792,-0.1222,-0.8449,23.1411,166.5212,46.9878
40000,0.5477,-0.1261,-0.8427,-0.3627,161.3304,40.6290
40000,0.7640,-0.1950,-0.7968,0.5838,82.1777,33.9267
40000,0.5892,-0.1308,-0.8822,11.0342,-34.5475,-2.6458
40000,0.6087,-0.1413,-0.8302,26.5838,-127.0895,-33.0198
40000,0.5277,-0.1483,-0.8288,6.6602,-218.2421,-69.3328
40000,0.3971,-0.1608,-0.8107,-15.9124,-167.7002,-50.7756
40000,0.2660,-0.1039,-0.9906,-17.5154,-146.7841,-48.8748
40000,0.1747,-0.0990,-0.9745,-7.3017,-155.6849,-50.0046
40000,0.0389,-0.1007,-1.0478,-6.7063,-146.5093,-55.4397
40000,0.0089,-0.0980,-0.9967,-16.9124,-171.3490,-53.7985
40000,-0.1901,-0.0480,-1.0519,-4.9276,-173.4635,-62.5695
40000,-0.2458,-0.0709,-1.0260,14.1258,-138.9139,-49.8595
40000,-0.3146,-0.1337,-0.8893,18.1563,-86.2879,-34.8977
40000,-0.3827,-0.1339,-0.9042,13.6602,-43.9673,-22.9969
40000,-0.3686,-0.1630,-0.8632,16.4235,-17.0666,-19.2412
40000,-0.1935,-0.2294,-0.7309,-1.7597,96.9563,42.1863
40000,-0.2169,-0.1117,-0.9701,-5.4544,208.5746,103.0565
40000,-0.1786,-0.1605,-0.7995,-19.7979,183.2846,83.6290
40000,0.0650,-0.0465,-0.9518,-39.5002,242.3609,95.5374
40000,0.2164,-0.0199,-1.1952,-27.1185,169.1777,74.5221
40000,0.2459,-0.0514,-0.9538,-14.7902,147.8189,63.6061
40000,0.4134,-0.0756,-1.0270,4.4311,164.0174,56.1405
40000,0.3802,-0.1012,-0.8586,-5.7215,73.3304,36.1176
40000,0.5226,-0.1078,-0.8429,-9.8895,99.0556,41.5908
40000,0.4972,-0.0888,-0.9225,7.2327,52.0632,28.6443
40000,0.4291,-0.0963,-0.9196,-10.1185,-78.4864,-23.2870
40000,0.4977,-0.0941,-0.7626,-32.3169,-93.1505,-18.4550
40000,0.3338,-0.0399,-0.9530,-27.9124,-114.2727,-17.1649
40000,0.1883,0.0165,-0.9753,-26.4391,-218.1353,-75.6611
40000,0.3189,-0.0263,-0.9499,-14.6070,-132.8681,-43.4473
40000,0.0511,0.0106,-1.0146,-16.8131,-120.5322,-41.8290
40000,0.0208,-0.0119,-1.0397,-9.2101,-157.6925,-75.5313
40000,-0.1046,0.0072,-0.9887,-2.7292,-116.3643,-55.9282
40000,-0.1796,0.0133,-1.0343,-4.5231,-95.3872,-36.3099
40000,-0.2731,0.0123,-0.9828,14.3701,-111.2879,-63.3099
40000,-0.2909,-0.0297,-0.8554,16.3243,-59.3566,-28.4092
40000,-0.3219,-0.0604,-0.8837,12.7899,27.0861,6.1634
40000,-0.2770,-0.0724,-0.8742,6.2861,89.0327,39.2855
40000,-0.1437,-0.0275,-1.0827,28.0266,215.3762,72.7893
40000,-0.0692,-0.0561,-0.9093,48.5609,201.1624,56.8809
40000,0.0963,-0.0519,-1.0107,8.4388,189.9640,34.7282
40000,0.1566,-0.0998,-0.9284,16.7976,184.5594,29.8427
40000,0.3392,-0.0741,-0.9474,-10.5002,139.5975,11.3237
40000,0.3626,-0.0956,-0.8893,15.6907,139.8571,29.2931
40000,0.5099,-0.0854,-0.8449,20.7289,88.0479,12.7206
40000,0.4332,-0.0695,-0.9696,32.3014,-90.7307,-7.2718
40000,0.3797,-0.1220,-0.8822,13.8968,-139.7612,-27.8519
40000,0.3651,-0.1691,-0.8547,11.7518,-62.4024,-14.7603
40000,0.3214,-0.1525,-0.9499,-14.7292,-109.9063,-3.3786
40000,0.1546,-0.1020,-1.0485,20.5762,-150.8299,-45.9664
40000,0.2191,-0.1435,-0.8693,-0.8284,-126.8605,-41.9664
40000,0.0248,-0.1439,-1.0016,-3.7063,-140.8452,-38.0886
40000,-0.0529,-0.1369,-1.0180,-18.7215,-132.1505,-51.8748
40000,-0.0800,-0.1681,-1.0041,-11.6834,-104.6391,-47.9817
40000,-0.1562,-0.1471,-0.9848,-31.4620,-115.2116,-36.4168
40000,-0.2641,-0.1129,-1.0697,-20.0956,-98.9673,-28.0580
40000,-0.3078,-0.1049,-0.9443,-7.5078,-49.8376,-26.6229
40000,-0.3478,-0.0910,-0.9584,-7.0269,-15.8986,-0.1802
40000,-0.2860,-0.1330,-0.9357,10.7060,61.8953,22.3466
40000,-0.2128,-0.1061,-1.0053,42.8510,186.2311,77.7359
40000,-0.2211,-0.0878,-0.9601,-3.9353,124.0098,60.1328
40000,-0.0492,-0.1361,-1.0278,26.8968,201.2159,55.1557
40000,0.0677,-0.1098,-0.9975,39.7976,247.2464,56.8046
40000,0.2589,-0.1466,-0.9784,-0.6528,137.8189,14.6519
40000,0.3414,-0.1686,-0.8063,-12.8895,203.4678,9.2473
40000,0.4793,-0.1300,-1.0607,70.5762,249.0021,33.4992
40000,0.6000,-0.1957,-0.7602,76.6449,173.8113,10.5145
40000,0.7042,-0.2672,-0.4201,-28.4009,14.7502,-16.2641
40000,0.6393,-0.1898,-0.8586,-41.9047,-36.0971,-13.9740
40000,0.6451,-0.1962,-0.7150,-27.7521,-83.2727,-10.1038
40000,0.5301,-0.1593,-0.7724,-31.6070,-112.5856,-8.4855
40000,0.5526,-0.1469,-0.9384,-17.6834,-115.0818,-6.7221
40000,0.2538,-0.0072,-1.0468,-56.4696,-251.2650,-84.4702
40000,0.2984,-0.1574,-0.8437,-25.8818,-195.5399,-80.7756
40000,0.1251,-0.0966,-1.1110,-3.4162,-111.7078,-23.8519
40000,0.0177,-0.0290,-1.0024,16.9426,-138.2269,-25.9817
40000,-0.0043,-0.0773,-1.0768,10.2708,-163.9979,-24.9435
40000,-0.1728,-0.1093,-0.8061,25.2937,-59.6849,-5.6992
40000,-0.1889,-0.1410,-0.9391,7.5227,-74.8147,-4.1878
40000,-0.1657,-0.1127,-0.8664,5.6525,-12.8910,30.9573
40000,-0.3175,-0.0709,-1.2196,43.1945,64.5289,54.6901
40000,-0.2438,-0.1466,-1.1637,181.5227,57.4144,20.7282
40000,-0.0890,-0.2565,-0.9384,160.8128,57.9182,-1.8290
40000,-0.1803,-0.3703,-0.9142,130.2937,24.4373,-5.6305
40000,-0.0670,-0.4188,-0.7580,96.8281,13.8876,-36.0351
40000,-0.0214,-0.4904,-0.7804,71.0724,20.6892,-13.2031
40000,-0.0343,-0.5338,-0.7399,11.1258,14.8495,-3.5313
40000,-0.0985,-0.5421,-0.7265,-43.2177,11.6205,3.3008
40000,-0.0873,-0.3944,-0.6347,-148.5231,14.7579,19.9573
40000,-0.1256,-0.2963,-0.9223,-198.7979,20.3609,7.9420
40000,0.0514,-0.1913,-1.1122,-141.9124,11.9640,11.6748
40000,-0.1347,-0.1269,-0.9872,-103.5536,-9.0208,-5.8901
40000,0.0594,-0.1217,-0.8813,-92.2788,37.0861,-0.8443
40003,-0.0214,0.0216,-1.1484,-81.5154,21.4754,5.0718
39997,0.0545,0.0365,-1.0751,-59.0421,21.3533,11.8656
40000,0.0040,0.0721,-1.1127,0.9808,21.5441,6.9496
40000,0.0406,0.0577,-1.1217,36.9960,22.4449,-2.2412
40000,0.0694,-0.0387,-1.1364,137.9044,32.2159,-2.3634
40000,0.1168,-0.1154,-1.0627,194.2098,43.4678,-13.0885
40000,0.1161,-0.2560,-0.8837,166.0571,42.2006,-3.3863
40000,0.2018,-0.3476,-0.9196,88.5151,19.3227,2.0870

